Category: All categories

Region,PM MODI: (7/30/14 - 8/30/20)
Dadra and Nagar Haveli,100
Jharkhand,93
Uttarakhand,92
Daman and Diu,90
Sikkim,81
Uttar Pradesh,77
Chhattisgarh,77
Himachal Pradesh,75
Jammu and Kashmir,74
Haryana,70
Rajasthan,67
Gujarat,64
Bihar,63
Delhi,62
Tripura,60
Punjab,59
Madhya Pradesh,58
Arunachal Pradesh,57
Odisha,54
Assam,52
Goa,52
Maharashtra,49
Meghalaya,48
Chandigarh,47
West Bengal,45
Karnataka,42
Nagaland,41
Telangana,37
Mizoram,34
Manipur,32
Andaman and Nicobar Islands,31
Andhra Pradesh,30
Puducherry,29
Tamil Nadu,26
Kerala,21
Lakshadweep,
