Category: All categories

Country,PM MODI: (7/30/14 - 8/30/20)
India,100
Bhutan,
Nepal,22
United Arab Emirates,17
Oman,16
Qatar,15
Bahrain,
Bolivia,15
Fiji,
Kuwait,9
Maldives,
Singapore,6
Mauritius,
Pakistan,5
Bangladesh,4
Saudi Arabia,3
Uganda,
Rwanda,
Myanmar (Burma),
China,
Sri Lanka,
Australia,2
Canada,2
St. Helena,
New Zealand,
Kenya,
Tanzania,
Malaysia,
United States,1
United Kingdom,1
Hong Kong,
Ireland,
Nigeria,
Kyrgyzstan,
South Africa,
Norway,
Switzerland,
Philippines,
Netherlands,
Sweden,
South Korea,
Thailand,
Belgium,
Israel,
Denmark,
Germany,<1
Indonesia,
Russia,
Vietnam,
Japan,
France,
Ukraine,
Italy,
Taiwan,
Spain,
Poland,
Brazil,
Caribbean Netherlands,
Seychelles,
Sint Maarten,
Gibraltar,
Gambia,
Antigua & Barbuda,
Suriname,
Malawi,
Liberia,
Aruba,
Somalia,
Sierra Leone,
Botswana,
Curaçao,
Papua New Guinea,
Macao,
Mauritania,
New Caledonia,
Brunei,
Guyana,
Bahamas,
Afghanistan,
Benin,
Barbados,
Zambia,
Mali,
Namibia,
Cambodia,
Madagascar,
Estonia,
Angola,
Ghana,
Congo - Kinshasa,
Tajikistan,
Laos,
Cameroon,
Cyprus,
Ethiopia,
Senegal,
North Macedonia,
Malta,
Zimbabwe,
Mongolia,
Mozambique,
Jordan,
Trinidad & Tobago,
Luxembourg,
Libya,
Jamaica,
Côte d’Ivoire,
Albania,
Kazakhstan,
Uzbekistan,
Yemen,
Azerbaijan,
Lebanon,
Georgia,
Sudan,
Syria,
Croatia,
Latvia,
Egypt,
Panama,
Puerto Rico,
Finland,
Romania,
Slovenia,
Iraq,
Czechia,
Portugal,
Costa Rica,
Guatemala,
Tunisia,
Slovakia,
Morocco,
Algeria,
Austria,
Bulgaria,
Hungary,
Iran,
Mexico,
Serbia,
Ecuador,
Peru,
Greece,
Turkey,
Colombia,
Chile,
Argentina,
Anguilla,
Åland Islands,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Burkina Faso,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iceland,
Jersey,
Kiribati,
St. Kitts & Nevis,
St. Lucia,
Liechtenstein,
Lesotho,
Lithuania,
St. Martin,
Monaco,
Moldova,
Marshall Islands,
Montenegro,
Northern Mariana Islands,
Montserrat,
Martinique,
Mayotte,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
El Salvador,
San Marino,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Turks & Caicos Islands,
Chad,
Togo,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Uruguay,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
