Category: All categories
"PM MODI: (7/30/14 - 8/30/20, India)"

TOP
Narendra Modi,100
Prime Minister of India,12
Prime minister,10
Speech,7
Live television,4
Minister,2
Chief minister,1
Nation,1
Mann Ki Baat,1
President,1
Lockdown,1
Pradhan Mantri Awas Yojana,1
Farmer,1
Yogi Adityanath,1
Yojana,<1
Donald Trump,<1
Pradhan Mantri Jan Dhan Yojana,<1
August 15,<1

RISING
Mann Ki Baat,Breakout
Lockdown,Breakout
Pradhan Mantri Awas Yojana,Breakout
Farmer,Breakout
Yogi Adityanath,Breakout
Yojana,Breakout
Donald Trump,Breakout
Pradhan Mantri Jan Dhan Yojana,Breakout
August 15,Breakout
Nation,"+1,600%"
Speech,+800%
Live television,+350%
President,+150%
Chief minister,+150%
Narendra Modi,+140%

