Category: All categories
"PM MODI: (7/30/14 - 8/30/20, Worldwide)"

TOP
Narendra Modi,100
Prime Minister of India,14
India,13
Indian people,12
Prime minister,12
Speech,8
Live television,4
Minister,2
Government,2
Nation,2
Election,1
Chief minister,1
Mann Ki Baat,1
Gujarat,1
Delhi,1
Lockdown,1
Israel,1
Pradhan Mantri Awas Yojana,1
Farmer,1
Scholarship,1
Yojana,1
Madhya Pradesh,<1
Yogi Adityanath,<1
Complaint,<1
Hindu Temple,<1

RISING
Mann Ki Baat,Breakout
Lockdown,Breakout
Israel,Breakout
Pradhan Mantri Awas Yojana,Breakout
Farmer,Breakout
Scholarship,Breakout
Yojana,Breakout
Madhya Pradesh,Breakout
Yogi Adityanath,Breakout
Complaint,Breakout
Hindu Temple,Breakout
August 15,Breakout
Member of Parliament,Breakout
Pradhan Mantri Jan Dhan Yojana,Breakout
Imran Khan,Breakout
UNESCO,Breakout
Indian Independence Day,Breakout
Ram Nath Kovind,Breakout
United Nations,Breakout
Biographical,Breakout
Vivek Oberoi,Breakout
Nation,"+1,900%"
Speech,+650%
Live television,+300%
Chief minister,+190%

